user_location,user_latitude,user_longitude
"Arlington, VA",38.8903961,-77.0841585
"St Petersburg, FL",27.7703796,-82.66950849999998
"Jamaica, NY",40.6914852,-73.8056771
"San Francisco, CA",37.7792768,-122.41927040000002
"Columbus, OH",39.9622601,-83.00070649999998
"Dallas, TX",32.7762719,-96.7968558
"Annapolis, MD",38.9786401,-76.492786
"Arcadia, CA",34.136207500000005,-118.0401497
"Jacksonville, FL",30.3321838,-81.655651
"Alexandria, VA",38.8051095,-77.0470229
"San Jose, CA",37.3361905,-121.8905833
"Upper East Side, Manhattan, NY",40.77354310000001,-73.95873370000002
"Los Angeles, CA",34.053717,-118.24272659999998
"Washington, DC",38.8949549,-77.03664559999999
"Providence, RI",41.8239891,-71.4128343
"Alameda, CA",37.6090291,-121.899142
"Lawrenceville, GA",33.9562149,-83.9879625
Bay Area,37.7884969,-122.3558473
"Ferndale, MI",42.4605917,-83.1346478
"Fredericksburg, VA",38.30318370000001,-77.46053990000001
"Canoga Park, CA",34.2011156,-118.5981424
"Manhattan, NY",40.7902778,-73.9597222
"Durham, NC",35.99403289999999,-78.898619
"Staten Island, NY",40.5834557,-74.14960479999998
"San Diego, CA",32.7174209,-117.1627714
"Capitol Hill/Northeast, Washington, DC",38.8895563,-77.00942059999998
"Northridge, CA",34.2285918,-118.5369316
"Atlanta, GA",33.749098700000005,-84.39018490000002
"San Antonio, TX",29.4246002,-98.4951405
"Buffalo, NY",42.8864468,-78.8783689
"Fairfax, VA",38.8462236,-77.3063733
"Fort Lauderdale, FL",26.1223084,-80.14337859999998
"Pittsburgh, PA",40.4416941,-79.99008609999998
"Chicago, IL",41.8755546,-87.6244212
"Houston, TX",29.7589382,-95.3676974
"Potomac, MD",39.0180453,-77.2089055
"New Britain, CT",41.6803915,-72.78827729044501
"Beaufort, SC",32.431581300000005,-80.6698286
"Anacostia, Washington, DC",38.86544179999999,-76.98425309999998
"Vancouver, Canada",49.2608944,-123.1139383
"Long Beach, CA",33.7774658,-118.1884871
"Austin, TX",30.2711286,-97.7436995
"Highland Park, IL",25.0657658,-77.3749559871174
"Hyattsville, MD",38.95325,-76.9408522
"Brookline, MA",42.3317642,-71.1211635
"Torrey Pines, San Diego, CA",,
"Boston, MA",42.3604823,-71.0595678
"Drexel Hill, PA",39.9483182,-75.3068862515295
"Edgewater, NJ",40.8270448,-73.97569399999998
"Santa Clara, CA",37.35411320000001,-121.9551744
"Herriman, UT",40.5140894,-112.03281979999998
"Hicksville, NY",40.7684331,-73.5251253
"Raleigh, NC",35.7804015,-78.6390779
"Wesley Heights, Washington, DC",38.9312222,-77.08803359999997
"Redlands, CA",34.0715385,-117.12099325373899
"North Beach, MD",38.7073406,-76.53106690000001
"Allston, MA",42.3554344,-71.13212709999998
"Newark, DE",39.6852191,-75.75082890000002
"Chino, CA",34.0133561,-117.690075
"California, MD",38.3004029,-76.5074542
"Bellevue, WA",47.6144219,-122.1923372
"Gretna, NE",41.118703,-96.25659386765301
"Princeton, NJ",40.3492744,-74.6592958
"Avon, MA",42.1306554,-71.04115820000001
"Ogontz Campus, PA",,
"Orlando, FL",28.5421175,-81.3790462
"Charlottesville, VA",38.029306,-78.4766781
"Irvine, CA",33.6856969,-117.82598190000002
"Walnut Creek, CA",37.9063131,-122.064963
"Springfield, VA",38.78905220000001,-77.1870368
"Union, NJ",40.6652251,-74.3045277
"Cambridge, MA",42.3785931,-71.13171366355259
